ああ;ああ;Ah!, Oh!;;5;How awful!;ああ<ruby>恐<rt>こわ</rt></ruby>い！;ah!, oh!, alas!;;yes, indeed, that is correct;;aah, gah, argh;;;;
会う;あう;to meet, to see;Godan verb with 'u' ending, Intransitive verb;5;I'll see him today.;<ruby>今日<rt>きょう</rt></ruby>、<ruby>会<rt>あ</rt></ruby>うよ。;to meet, to encounter, to see;Godan verb with 'u' ending, Intransitive verb;to have an accident, to have a bad experience;Godan verb with 'u' ending, Intransitive verb;;;;;
青;あお;blue;Noun, Noun which may take the genitive case particle 'no';5;One is blue.;<ruby>一<rt>ひと</rt></ruby>つは<ruby>青<rt>あお</rt></ruby>。;blue, azure;Noun, Noun which may take the genitive case particle 'no';green;Noun, Noun which may take the genitive case particle 'no';green light (traffic);Noun;;;
青い;あおい;blue;I-adjective (keiyoushi);5;The car is blue.;<ruby>車<rt>くるま</rt></ruby>が<ruby>青<rt>あお</rt></ruby>い。;blue, azure;I-adjective (keiyoushi);green;I-adjective (keiyoushi);pale (facial color), gray, grey;I-adjective (keiyoushi);;;
赤;あか;red;Noun, Noun which may take the genitive case particle 'no';5;Your face is red.;<ruby>顔<rt>かお</rt></ruby><ruby>赤<rt>あか</rt></ruby>いよ。;red, crimson, scarlet;Noun, Noun which may take the genitive case particle 'no';red-containing colour (e.g. brown, pink, orange);Noun;Red (i.e. communist);Noun;;;
赤い;あかい;red;I-adjective (keiyoushi);5;Your face is red.;<ruby>顔<rt>かお</rt></ruby><ruby>赤<rt>あか</rt></ruby>いよ。;red, crimson, scarlet, vermilion;I-adjective (keiyoushi);Red, communist;I-adjective (keiyoushi);;;;;
明るい;あかるい;bright (in reference to personality or weather), cheerful;I-adjective (keiyoushi);5;The moon is bright.;<ruby>月<rt>がつ</rt></ruby>は<ruby>明<rt>あか</rt></ruby>るい。;light, bright, well-lit, well-lighted;I-adjective (keiyoushi);bright (colour);I-adjective (keiyoushi);cheerful, bright, spirited, sunny (e.g. disposition);I-adjective (keiyoushi);;;
秋;あき;fall (season);Noun, Adverb (fukushi);5;Autumn is here.;<ruby>秋<rt>あき</rt></ruby>ですね。;autumn, fall;Noun, Adverb (fukushi);;;;;;;
開く;あく;to open, to become open;Godan verb with 'ku' ending, Intransitive verb, Transitive verb;5;Don't open your book.;<ruby>本<rt>ほん</rt></ruby>を<ruby>開<rt>ひら</rt></ruby>くな。;to open, to undo, to unseal, to unpack;Godan verb with 'ku' ending, Intransitive verb, Transitive verb;to bloom, to unfold, to spread out;Godan verb with 'ku' ending, Intransitive verb, Transitive verb;to open (for business, e.g. in the morning);Godan verb with 'ku' ending, Intransitive verb, Transitive verb;;;
開ける;あける;to open (v.t.);Ichidan verb, Transitive verb;5;Don't open the window.;<ruby>窓<rt>まど</rt></ruby>を<ruby>開<rt>ひら</rt></ruby>けるな。;to open (a door, etc.), to unwrap (e.g. parcel, package), to unlock;Ichidan verb, Transitive verb;to open (for business, etc.);Ichidan verb, Transitive verb;to empty, to remove, to make space, to make room;Ichidan verb, Transitive verb;;;
上げる;あげる;to raise, to lift;Ichidan verb, Transitive verb;5;I look up at the sky.;<ruby>大空<rt>おおぞら</rt></ruby>を<ruby>見上<rt>みあ</rt></ruby>げる。;to raise, to elevate;Ichidan verb, Transitive verb;to move something (to a higher place), to put onto (e.g. a shelf);Ichidan verb, Transitive verb;to increase (price, quality, status, etc.), to raise (a wage);Ichidan verb, Transitive verb;;;
朝;あさ;morning;Noun, Adverb (fukushi);5;Are you a morning person?;<ruby>朝型<rt>あさがた</rt></ruby><ruby>人間<rt>にんげん</rt></ruby>？;morning;Noun, Adverb (fukushi);breakfast;Noun;Morning;Wikipedia definition;;;
