kanji;hiragana;meaning;pos;jlpt;sentenceEN;sentenceJP;meaning2;pos2;meaning3;pos3;meaning4;pos4;ref1;ref2;ref3
ああ;ああ;Ah!, Oh!;int;5;How awful!;ああ<ruby>恐<rt>こわ</rt></ruby>い！;ah!, oh!, alas!;int;yes, indeed, that is correct;int;aah, gah, argh;int;;;
会う;あう;to meet, to see;v5u, vi;5;I'll see him today.;<ruby>今日<rt>きょう</rt></ruby>、<ruby>会<rt>あ</rt></ruby>うよ。;to meet, to encounter, to see;v5u, vi;to have an accident, to have a bad experience;v5u, vi;;;会う約束;逢うは別れの始め;めぐり合う
会う約束;あうやくそく;appointment;n, vs;0;;;;;;;;;;;
逢うは別れの始め;あうはわかれのはじめ;we meet only to part;exp;0;;;;;;;;;;;
めぐり合う;めぐりあう;to meet fortuitously;v5u, vi;0;;;;;;;;;;;
青;あお;blue;n, adj-no;5;One is blue.;<ruby>一<rt>ひと</rt></ruby>つは<ruby>青<rt>あお</rt></ruby>。;blue, azure;n, adj-no;green;n, adj-no;green light (traffic);n;青ひげ;青短;青えんどう
青ひげ;あおひげ;use of blue eyebrow pencil to indicate a character has shaved his cheeks;n;0;;;;;;;;;;;
青短;あおたん;5-point card with a blue tanzaku;n;0;;;;;;;;;;;
青えんどう;あおえんどう;green peas;n;0;;;;;;;;;;;
青い;あおい;blue;adj-i;5;The car is blue.;<ruby>車<rt>くるま</rt></ruby>が<ruby>青<rt>あお</rt></ruby>い。;blue, azure;adj-i;green;adj-i;pale (facial color), gray, grey;adj-i;青い鳥;隣の芝生は青い;ケツが青い
青い鳥;あおいとり;bluebird of happiness;exp, n;0;;;;;;;;;;;
隣の芝生は青い;となりのしばふはあおい;the grass is always greener on the other side of the fence;exp, adj-i;0;;;;;;;;;;;
ケツが青い;ケツがあおい;wet behind the ears;exp, adj-i;0;;;;;;;;;;;
赤;あか;red;n, adj-no;5;Your face is red.;<ruby>顔<rt>かお</rt></ruby><ruby>赤<rt>あか</rt></ruby>いよ。;red, crimson, scarlet;n, adj-no;red-containing colour (e.g. brown, pink, orange);n;Red (i.e. communist);n;赤錆;赤短;赤エイ
赤錆;あかさび;red rust;n;0;;;;;;;;;;;
赤短;あかたん;5-point card with a red tanzaku;n;0;;;;;;;;;;;
赤エイ;アカエイ;red stingray (Dasyatis akajei);n;0;;;;;;;;;;;
赤い;あかい;red;adj-i;5;Your face is red.;<ruby>顔<rt>かお</rt></ruby><ruby>赤<rt>あか</rt></ruby>いよ。;red, crimson, scarlet, vermilion;adj-i;Red, communist;adj-i;;;赤鰯;赤い糸;赤い旅団
赤鰯;あかいわし;pickled sardines;n;0;;;;;;;;;;;
赤い糸;あかいいと;red string of fate;exp, n;0;;;;;;;;;;;
赤い旅団;あかいりょだん;Red Brigades;n;0;;;;;;;;;;;
明るい;あかるい;bright (in reference to personality or weather), cheerful;adj-i;5;The moon is bright.;<ruby>月<rt>がつ</rt></ruby>は<ruby>明<rt>あか</rt></ruby>るい。;light, bright, well-lit, well-lighted;adj-i;bright (colour);adj-i;cheerful, bright, spirited, sunny (e.g. disposition);adj-i;足元の明るいうちに;薄明るい;夜目にも明るい
足元の明るいうちに;あしもとのあかるいうちに;while it is light;exp, adv;0;;;;;;;;;;;
薄明るい;うすあかるい;faintly light;adj-i;0;;;;;;;;;;;
夜目にも明るい;よめにもあかるい;bright even in the dark;exp, adj-i;0;;;;;;;;;;;
秋;あき;fall (season);n, adv;5;Autumn is here.;<ruby>秋<rt>あき</rt></ruby>ですね。;autumn, fall;n, adv;;;;;秋田竿燈まつり;秋祭り;秋茄子
秋田竿燈まつり;あきたかんとうまつり;Akita Kantō Festival (3-6 August);n;0;;;;;;;;;;;
秋祭り;あきまつり;autumn festival;n;0;;;;;;;;;;;
秋茄子;あきなす;autumn eggplant;n;0;;;;;;;;;;;
開く;あく;to open, to become open;v5k, vi;5;Don't open your book.;<ruby>本<rt>ほん</rt></ruby>を<ruby>開<rt>ひら</rt></ruby>くな。;to open (e.g. doors);v5k, vi;to open (e.g. business, etc.);v5k, vi;to be empty;v5k, vi;言い開く;切り開く;糸口を開く
言い開く;いいひらく;to justify;v5k, vt;0;;;;;;;;;;;
切り開く;きりひらく;to cut open;v5k, vt;0;;;;;;;;;;;
糸口を開く;いとぐちをひらく;to find a clue;exp, v5k;0;;;;;;;;;;;
